text,label,label_numeric
The storyline is engaging but the controls feel clunky at times.,non-spam,0
I've played 50+ hours and still discovering new content.,non-spam,0
Graphics are stunning on ultra settings with my RTX 3080.,non-spam,0
"Multiplayer servers need improvement, too much lag during peak hours.",non-spam,0
"The soundtrack is absolutely phenomenal, worth playing just for the music.",non-spam,0
"Too many microtransactions, but the core gameplay is solid.",non-spam,0
Perfect for casual gaming sessions after work.,non-spam,0
Character customization options are limited compared to similar titles.,non-spam,0
The open world feels empty after completing main quests.,non-spam,0
Best RPG I've played since The Witcher 3.,non-spam,0
Loading times are excessive even on SSD.,non-spam,0
The dialogue options actually change the story outcome!Co-op mode is buggy but still fun with friends.,non-spam,0
"AI needs work, enemies are too predictable.",non-spam,0
"Performance on console is smooth, PC port needs optimization.",non-spam,0
The crafting system is deep and rewarding.,non-spam,0
Too many repetitive side quests.,non-spam,0
Voice acting is top-notch across all characters.,non-spam,0
Early game is slow but it picks up after 5 hours.,non-spam,0
"Worth the full price, no regrets.",non-spam,0
Camera angles during combat need fixing.,non-spam,0
The art style is unique and beautiful.,non-spam,0
I encountered 3 crashes in 20 hours of gameplay.,non-spam,0
Skill tree offers meaningful build diversity.,non-spam,0
Pacing issues - some sections drag on too long.,non-spam,0
Environmental storytelling is masterful.,non-spam,0
Needs better controller support on PC.,non-spam,0
The physics engine creates hilarious unintended moments.,non-spam,0
Difficulty spikes are poorly balanced.,non-spam,0
Photo mode is incredibly detailed.,non-spam,0
Inventory management becomes tedious mid-game.,non-spam,0
The lore is deep and well-documented in-game.,non-spam,0
Frame rate drops in crowded areas.,non-spam,0
Combat feels satisfying and impactful.,non-spam,0
Too much hand-holding in tutorials.,non-spam,0
Sound design makes horror sections terrifying.,non-spam,0
Quick-time events are overused.,non-spam,0
World-building is exceptional.,non-spam,0
Best graphics and gameplay,non-spam,0
Auto-save system needs more frequent checkpoints.,non-spam,0
Character development is emotional and well-written.,non-spam,0
Map could use more fast-travel points.,non-spam,0
The weather system affects gameplay meaningfully.,non-spam,0
Stealth mechanics are poorly implemented.,non-spam,0
Side characters are memorable and well-acted.,non-spam,0
UI is cluttered and overwhelming.,non-spam,0
New Game+ adds significant replay value.,non-spam,0
Parkour mechanics feel fluid and natural.,non-spam,0
Resource gathering becomes grindy.,non-spam,0
The photo-realistic graphics are technically impressive.,non-spam,0
Boss fights are creative and challenging.,non-spam,0
Driving controls are floaty and imprecise.,non-spam,0
Moral choices actually feel consequential.,non-spam,0
Too many unskippable cutscenes.,non-spam,0
Procedural generation keeps exploration fresh.,non-spam,0
Aiming feels off with mouse and keyboard.,non-spam,0
Atmospheric and immersive world.,non-spam,0
Crafting materials are too scarce.,non-spam,0
Companion AI is smart and helpful.,non-spam,0
Text is too small to read on TV.,non-spam,0
The dynamic music adapts perfectly to situations.,non-spam,0
Platforming sections are frustrating.,non-spam,0
Weapon variety is impressive.,non-spam,0
Story conclusion feels rushed.,non-spam,0
HDR implementation is excellent.,non-spam,0
Enemy variety is lacking in later areas.,non-spam,0
Puzzles are clever and satisfying to solve.,non-spam,0
Too much backtracking required.,non-spam,0
The day/night cycle affects NPC behavior.,non-spam,0
Cover system is clunky.,non-spam,0
Character relationships develop naturally.,non-spam,0
Fast travel breaks immersion.,non-spam,0
Destructible environments are impressive.,non-spam,0
Tutorial doesn't explain advanced mechanics.,non-spam,0
The modding community will extend this game's life.,non-spam,0
Vehicle handling needs improvement.,non-spam,0
World feels alive with dynamic events.,non-spam,0
Fetch quests pad the game length unnecessarily.,non-spam,0
Magic system is innovative and fun.,non-spam,0
Texture pop-in is noticeable.,non-spam,0
Dialogue choices reflect my personality.,non-spam,0
Checkpoints are too far apart.,non-spam,0
The climbing mechanic is intuitive.,non-spam,0
Economy is unbalanced - too much gold later.,non-spam,0
Visual effects during combat are stunning.,non-spam,0
Steep learning curve for new players.,non-spam,0
The settlement building is addictive.,non-spam,0
Screen tearing is an issue without VSync.,non-spam,0
Combat animations are fluid.,non-spam,0
Too much reliance on RNG.,non-spam,0
World detail is astonishing - found hidden stories everywhere.,non-spam,0
Inventory space is too limited.,non-spam,0
Parrying system feels rewarding.,non-spam,0
Story has plot holes.,non-spam,0
Ray tracing makes a noticeable difference.,non-spam,0
Enemy respawn rates are too high.,non-spam,0
Music swells at perfect emotional moments.,non-spam,0
Quick menu is slow to navigate.,non-spam,0
Physics-based puzzles are creative.,non-spam,0
Underwater controls are awkward.,non-spam,0
Character creator allows unique appearances.,non-spam,0
Too many collectibles for completionists.,non-spam,0
Dynamic difficulty adjustment works well.,non-spam,0
No option to change FOV on console.,non-spam,0
Weather effects are breathtaking.,non-spam,0
Crafting menus are confusing.,non-spam,0
NPC schedules make the world believable.,non-spam,0
Fast travel loading screens are too long.,non-spam,0
Weapon degradation adds strategic layer.,non-spam,0
Main story is shorter than expected.,non-spam,0
Particle effects during spells are gorgeous.,non-spam,0
Stealth detection is inconsistent.,non-spam,0
Choices actually matter in the long term.,non-spam,0
Too many audio logs for storytelling.,non-spam,0
Procedural dialogue keeps interactions fresh.,non-spam,0
Aiming down sights feels slow.,non-spam,0
World reacts to your reputation.,non-spam,0
Inventory sorting options are limited.,non-spam,0
Dual-wielding mechanics are well-implemented.,non-spam,0
Third act loses narrative focus.,non-spam,0
Realistic facial animations.,non-spam,0
Partner AI gets stuck on geometry.,non-spam,0
Skill-based progression feels rewarding.,non-spam,0
Too many similar-looking dungeons.,non-spam,0
Lighting creates amazing atmosphere.,non-spam,0
Crafting is unnecessary on easy difficulty.,non-spam,0
Factions have believable motivations.,non-spam,0
Map doesn't show elevation changes.,non-spam,0
Combo system is deep and technical.,non-spam,0
Ending doesn't resolve all plot threads.,non-spam,0
Volumetric fog looks incredible.,non-spam,0
Enemy AI is too aggressive on normal.,non-spam,0
Your actions affect the game world visibly.,non-spam,0
Too many useless loot items.,non-spam,0
Physics interactions are realistic.,non-spam,0
Default keybindings are awkward.,non-spam,0
Different playstyles are viable.,non-spam,0
Some textures look low-res up close.,non-spam,0
Magic feels powerful and impactful.,non-spam,0
Story is predictable.,non-spam,0
Reflections in puddles are impressive.,non-spam,0
Stealth is too easy.,non-spam,0
Missions have multiple approaches.,non-spam,0
Carry weight limits are too restrictive.,non-spam,0
Combat has weight and impact.,non-spam,0
Pacing suffers from too much traveling.,non-spam,0
The skybox at night is beautiful.,non-spam,0
Crafting components are poorly explained.,non-spam,0
NPCs remember your previous interactions.,non-spam,0
Loading between zones breaks immersion.,non-spam,0
Character builds allow for experimentation.,non-spam,0
Difficulty options lack granularity.,non-spam,0
Realistic water physics.,non-spam,0
Quick-time events feel dated.,non-spam,0
Your choices create unique story branches.,non-spam,0
Too much menu navigation.,non-spam,0
Destruction physics are satisfying.,non-spam,0
Story has emotional depth.,non-spam,0
Anti-aliasing options are limited.,non-spam,0
Movement feels responsive and precise.,non-spam,0
Too many invisible walls.,non-spam,0
Dynamic shadows create atmosphere.,non-spam,0
Crafting is optional but rewarding.,non-spam,0
Faction reputation system is deep.,non-spam,0
Map markers are sometimes inaccurate.,non-spam,0
Magic combos with environmental effects.,non-spam,0
Third-person camera is too close.,non-spam,0
Realistic cloth simulation.,non-spam,0
Side quests have meaningful stories.,non-spam,0
Input lag in menus.,non-spam,0
Weapon sounds are punchy and real.,non-spam,0
RPG elements feel tacked on.,non-spam,0
Time of day affects gameplay mechanics.,non-spam,0
Inventory is poorly organized.,non-spam,0
Combat is strategic and tactical.,non-spam,0
Main villain lacks development.,non-spam,0
Global illumination looks photorealistic.,non-spam,0
Enemy scaling removes sense of progression.,non-spam,0
Your character's morality affects gameplay.,non-spam,0
Too many loading screens.,non-spam,0
Physics objects can be used strategically.,non-spam,0
Story has satisfying character arcs.,non-spam,0
Depth of field in cutscenes is overdone.,non-spam,0
Movement has momentum and weight.,non-spam,0
Map is too large with not enough content.,non-spam,0
Realistic fire propagation.,non-spam,0
Crafting allows creative problem-solving.,non-spam,0
NPC daily routines are impressive.,non-spam,0
Fast travel should be unlocked later.,non-spam,0
Elemental interactions in combat.,non-spam,0
Camera gets stuck in tight spaces.,non-spam,0
Hair and fur physics look amazing.,non-spam,0
Stealth rewards patience and planning.,non-spam,0
Puzzles interrupt gameplay flow.,non-spam,0
Your reputation precedes you in dialogue.,non-spam,0
Menu navigation is cumbersome with controller.,non-spam,0
Environmental destruction is strategic.,non-spam,0
Story tackles mature themes well.,non-spam,0
Motion blur is too strong by default.,non-spam,0
Parkour feels natural and fluid.,non-spam,0
Too many repetitive enemy types.,non-spam,0
Cloud shadows moving across landscape.,non-spam,0
Alchemy system is complex and deep.,non-spam,0
NPCs have unique daily schedules.,non-spam,0
Loading times between deaths are frustrating.,non-spam,0
Magic spells combo with each other.,non-spam,0
Cover shooter mechanics feel generic.,non-spam,0
Realistic material weathering over time.,non-spam,0
Choices have unforeseen consequences.,non-spam,0
Inventory management takes too much time.,non-spam,0
Combat animations sync with hits perfectly.,non-spam,0
Story lacks original ideas.,non-spam,0
Screen space reflections are well-implemented.,non-spam,0
Difficulty curve is poorly designed.,non-spam,0
World changes based on your decisions.,non-spam,0
Too many unskippable tutorials.,non-spam,0
Destructible cover adds tactical depth.,non-spam,0
